GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
client,com.techwave.client.model,Branchdb,27,19,0,0,10,9,5,5,5,5
client,com.techwave.client.model,CustomerBooking,56,0,0,0,23,0,12,0,12,0
client,com.techwave.client.model,Vehicledb,70,38,0,0,20,18,9,10,9,10
client,com.techwave.client.model,Customerdb,66,0,0,0,27,0,14,0,14,0
client,com.techwave.client.model,Logindb,27,19,0,0,10,9,5,5,5,5
client,com.techwave.client.controllers,BranchController,406,3,38,0,83,1,27,1,8,1
client,com.techwave.client.controllers,CustomerController,487,3,30,0,103,1,22,1,7,1
client,com.techwave.client.controllers,AdminController,420,3,26,0,84,1,28,1,15,1
client,com.techwave.client.controllers,StatusSort,9,0,0,0,2,0,2,0,2,0
client,com.techwave.client.controllers,LoginController,203,3,20,0,48,1,18,1,8,1
client,com.techwave.client.controllers,RoleSort,9,0,0,0,2,0,2,0,2,0
client,com.techwave.client.dao,ClientBooking,87,6,0,0,12,2,7,1,7,1
client,com.techwave.client.dao,ClientVehicle,0,166,0,0,0,21,0,11,0,11
client,com.techwave.client.dao,ClientCustomer,67,6,0,0,7,2,5,1,5,1
client,com.techwave.client.dao,Client,0,3,0,0,0,1,0,1,0,1
client,com.techwave.client.dao,ClientBranch,99,6,4,0,17,2,8,1,6,1
client,com.techwave.client.dao,ClientLogin,115,6,0,0,19,2,12,1,12,1
client,com.techwave.client,ClientApplication,5,15,0,0,2,4,1,4,1,4
